Station,Date,Air_Temperature_Celcius,Relative_Humidity,WindSpeed_knots,Max_Wind_Speed,Precipitation 
948700,2016-12-31,19,56.8,7.9,11.1, 0.00I
948700,2017-01-02,15,50.7,9.2,13, 0.02G
948700,2017-01-03,16,53.6,8.1,15, 0.00G
948700,2017-01-04,24,61.6,7.7,14, 0.00I
948700,2017-01-05,24,62.3,7,13, 0.00I
948700,2017-01-06,26,60.8,6.9,12, 0.00I
948700,2017-01-07,32,54.1,12.8,19, 0.00I
948700,2017-01-08,20,57.7,9.9,18.1, 0.00I
948700,2017-01-09,19,56.3,5.8,8.9, 0.00I
948700,2017-01-10,20,57,8.7,13, 0.00I
948700,2017-01-11,18,53.3,7.9,14, 0.00I
948700,2017-01-12,22,56.3,8,13, 0.08G
948700,2017-01-13,19,54.1,11.2,18.1, 0.31G
948700,2017-01-14,17,50.4,11.9,16.9, 0.00G
948700,2017-01-15,16,50.8,5.8,12, 0.00I
948700,2017-01-16,24,55.4,5.9,9.9, 0.00I
948700,2017-01-17,24,53.4,9.9,15.9, 0.00I
948700,2017-01-18,16,46.7,10,16.9, 0.00I
948700,2017-01-19,19,57.2,8.9,15, 0.98G
948700,2017-01-20,16,50.9,12.9,21, 0.03G
948700,2017-01-21,17,52.5,6.7,12, 0.00G
948700,2017-01-22,23,59,6,12, 0.00I
948700,2017-01-23,25,58.3,12.2,22, 0.04G
948700,2017-01-24,16,48.2,9.9,18.1, 0.01G
948700,2017-01-25,17,50.8,9,15.9, 0.00G
948700,2017-01-26,18,53.5,8.8,13, 0.00I
948700,2017-01-27,19,56.1,6.9,12, 0.00A
948700,2017-01-28,18,57,7.4,15, 0.00I
948700,2017-01-29,22,58,6.9,12, 0.00I
948700,2017-01-30,20,55.8,10.5,15.9, 0.01G
948700,2017-01-31,16,48.4,8.1,15.9, 0.00G
948700,2017-02-01,16,48.9,5.4,8.9, 0.00I
948700,2017-02-02,18,53,6.6,14, 0.00I
948700,2017-02-03,18,54.4,5.7,9.9, 0.00I
948700,2017-02-04,26,53.7,8.7,15, 0.00I
948700,2017-02-05,21,64.5,10.6,15.9, 1.26G
948700,2017-02-06,16,48.1,9.3,12, 0.00G
948700,2017-02-07,20,57.4,10.9,22, 0.00I
948700,2017-02-08,31,61.9,14.1,23.9, 0.00I
948700,2017-02-09,22,62.7,7.6,18.1, 0.00I
948700,2017-02-10,21,60.4,6.8,12, 0.00I
948700,2017-02-11,19,53.8,9.2,15, 0.02G
948700,2017-02-12,16,48.3,14.4,19, 0.00G
948700,2017-02-13,16,53.6,12.1,16.9, 0.16G
948700,2017-02-14,14,48.5,7.3,14, 0.00G
948700,2017-02-15,22,53.4,10.9,19, 0.00I
948700,2017-02-16,18,53.6,7.2,15, 0.00I
948700,2017-02-17,18,49.4,9.3,13, 0.00I
948700,2017-02-18,15,44.6,9.7,12, 0.02G
948700,2017-02-19,13,48.5,10.7,14, 0.71G
948701,2017-02-20,15,49.1,9.6,16.9, 0.01G
948701,2017-02-21,16,51,6,13, 0.00G
948701,2017-02-22,23,49.6,10,19, 0.00I
948701,2017-02-23,18,55.5,8.9,15, 0.01G
948701,2017-02-24,16,48.3,9.4,14, 0.01G
948701,2017-02-25,17,52.6,10.3,15.9, 0.00G
948701,2017-02-26,21,54.9,7.4,16.9, 0.00I
948701,2017-02-27,24,55.6,5.9,13, 0.00I
948701,2017-02-28,23,54.1,5.7,14, 0.00I
948701,2017-03-01,21,57.3,5.4,9.9, 0.00I
948701,2017-03-02,20,62.6,10.1,15, 0.00I
948701,2017-03-03,21,59.5,12.4,21, 0.00I
948701,2017-03-04,22,62,7.9,11.1, 0.00I
948701,2017-03-05,20,58.8,11.5,15.9, 0.00I
